genome_id,drug,phenotype,mic
GEN-0095,Gentamicin,S,0.25
GEN-0095,Meropenem,R,8.0
GEN-0096,Ceftriaxone,S,0.12
GEN-0096,Gentamicin,S,0.06
GEN-0096,Meropenem,S,0.06
GEN-0097,Ceftriaxone,R,8.0
GEN-0097,Gentamicin,S,0.06
GEN-0097,Meropenem,R,32.0
GEN-0098,Ceftriaxone,R,32.0
GEN-0098,Ciprofloxacin,R,32.0
GEN-0098,Gentamicin,S,0.12
GEN-0099,Ceftriaxone,R,32.0
GEN-0099,Ciprofloxacin,R,16.0
GEN-0099,Gentamicin,S,0.06
GEN-0099,Meropenem,S,0.12
GEN-0100,Ciprofloxacin,R,8.0
GEN-0100,Gentamicin,S,0.25
GEN-0101,Ceftriaxone,R,8.0
GEN-0101,Ciprofloxacin,R,64.0
GEN-0102,Ceftriaxone,R,8.0
GEN-0102,Ciprofloxacin,R,16.0
GEN-0102,Gentamicin,S,0.25
GEN-0102,Meropenem,R,16.0
GEN-0103,Ceftriaxone,R,64.0
GEN-0103,Gentamicin,S,0.12
GEN-0103,Meropenem,S,0.03
GEN-0104,Ceftriaxone,R,16.0
GEN-0104,Ciprofloxacin,R,64.0
GEN-0104,Gentamicin,S,0.03
GEN-0104,Meropenem,S,0.06
GEN-0105,Ciprofloxacin,R,8.0
GEN-0105,Gentamicin,S,0.06
GEN-0106,Ceftriaxone,R,64.0
GEN-0106,Ciprofloxacin,R,16.0
GEN-0106,Gentamicin,R,8.0
GEN-0106,Meropenem,S,0.06
GEN-0107,Gentamicin,S,0.25
GEN-0108,Ceftriaxone,S,0.12
GEN-0108,Ciprofloxacin,R,64.0
GEN-0108,Gentamicin,S,0.06
GEN-0108,Meropenem,S,0.03
GEN-0109,Ceftriaxone,R,32.0
GEN-0109,Ciprofloxacin,R,8.0
GEN-0109,Gentamicin,S,0.25
GEN-0109,Meropenem,S,0.03
GEN-0110,Ceftriaxone,S,0.06
GEN-0110,Gentamicin,S,0.12
GEN-0110,Meropenem,S,0.12
GEN-0111,Ceftriaxone,R,8.0
GEN-0111,Ciprofloxacin,R,64.0
GEN-0111,Gentamicin,S,0.25
GEN-0112,Ceftriaxone,S,0.12
GEN-0112,Gentamicin,S,0.03
GEN-0113,Ceftriaxone,S,0.12
GEN-0113,Gentamicin,S,0.03
GEN-0113,Meropenem,S,0.03
GEN-0114,Ceftriaxone,R,8.0
GEN-0114,Gentamicin,S,0.25
GEN-0114,Meropenem,S,0.25
GEN-0115,Ciprofloxacin,R,64.0
GEN-0115,Gentamicin,S,0.06
GEN-0116,Ceftriaxone,R,32.0
GEN-0116,Ciprofloxacin,R,8.0
GEN-0116,Gentamicin,S,0.25
GEN-0116,Meropenem,S,0.25
GEN-0117,Ceftriaxone,R,8.0
GEN-0117,Ciprofloxacin,R,16.0
GEN-0117,Meropenem,S,0.25
GEN-0118,Ceftriaxone,R,64.0
GEN-0118,Ciprofloxacin,R,16.0
GEN-0118,Gentamicin,S,0.03
GEN-0118,Meropenem,R,64.0
GEN-0119,Gentamicin,S,0.25
GEN-0119,Meropenem,S,0.12
GEN-0120,Ceftriaxone,R,8.0
GEN-0120,Gentamicin,S,0.25
GEN-0120,Meropenem,S,0.03
GEN-0121,Ceftriaxone,R,32.0
GEN-0121,Gentamicin,S,0.06
GEN-0122,Ceftriaxone,R,32.0
GEN-0122,Ciprofloxacin,R,64.0
GEN-0122,Gentamicin,S,0.03
GEN-0122,Meropenem,S,0.03
GEN-0123,Ceftriaxone,R,64.0
GEN-0123,Ciprofloxacin,R,32.0
GEN-0123,Gentamicin,S,0.06
GEN-0123,Meropenem,S,0.25
GEN-0124,Ceftriaxone,R,16.0
GEN-0124,Ciprofloxacin,R,64.0
GEN-0124,Gentamicin,S,0.12
GEN-0124,Meropenem,S,0.03
GEN-0125,Ceftriaxone,R,8.0
GEN-0125,Ciprofloxacin,S,0.25
GEN-0125,Gentamicin,S,0.03
GEN-0125,Meropenem,S,0.25
GEN-0126,Ceftriaxone,R,16.0
GEN-0126,Ciprofloxacin,R,8.0
GEN-0126,Gentamicin,S,0.12
GEN-0127,Ciprofloxacin,R,32.0
GEN-0127,Meropenem,S,0.06
GEN-0128,Ceftriaxone,R,8.0
GEN-0128,Ciprofloxacin,R,8.0
GEN-0128,Gentamicin,S,0.12
GEN-0128,Meropenem,S,0.03
GEN-0129,Ciprofloxacin,R,16.0
GEN-0129,Gentamicin,S,0.12
GEN-0129,Meropenem,S,0.12
GEN-0130,Ceftriaxone,R,64.0
GEN-0130,Ciprofloxacin,R,64.0
GEN-0130,Gentamicin,S,0.03
GEN-0131,Ceftriaxone,R,8.0
GEN-0131,Ciprofloxacin,R,32.0
GEN-0131,Gentamicin,S,0.25
GEN-0132,Gentamicin,R,64.0
GEN-0132,Meropenem,S,0.25
GEN-0133,Ciprofloxacin,R,16.0
GEN-0134,Ciprofloxacin,R,8.0
GEN-0134,Gentamicin,R,8.0
GEN-0134,Meropenem,S,0.25
GEN-0135,Ceftriaxone,S,0.12
GEN-0135,Ciprofloxacin,R,16.0
GEN-0135,Meropenem,S,0.12
GEN-0136,Ceftriaxone,S,0.25
GEN-0136,Ciprofloxacin,S,0.12
GEN-0136,Gentamicin,R,16.0
GEN-0136,Meropenem,S,0.03
GEN-0137,Ceftriaxone,S,0.06
GEN-0137,Ciprofloxacin,R,8.0
GEN-0137,Gentamicin,R,16.0
GEN-0137,Meropenem,S,0.03
GEN-0138,Ceftriaxone,S,0.12
GEN-0138,Ciprofloxacin,R,32.0
GEN-0138,Gentamicin,R,64.0
GEN-0138,Meropenem,S,0.25
GEN-0139,Ceftriaxone,S,0.12
GEN-0139,Ciprofloxacin,R,32.0
GEN-0139,Gentamicin,R,8.0
GEN-0139,Meropenem,S,0.25
GEN-0140,Ceftriaxone,R,8.0
GEN-0140,Ciprofloxacin,S,0.12
GEN-0140,Gentamicin,R,32.0
GEN-0140,Meropenem,S,0.12
GEN-0141,Ciprofloxacin,S,0.03
GEN-0141,Gentamicin,R,8.0
GEN-0141,Meropenem,S,0.03
GEN-0142,Ceftriaxone,S,0.03
GEN-0142,Gentamicin,R,32.0
GEN-0142,Meropenem,S,0.06
GEN-0143,Ceftriaxone,S,0.25
GEN-0143,Gentamicin,R,64.0
GEN-0143,Meropenem,S,0.06
GEN-0144,Ceftriaxone,S,0.25
GEN-0144,Ciprofloxacin,S,0.06
GEN-0144,Gentamicin,R,16.0
GEN-0145,Ceftriaxone,S,0.06
GEN-0145,Ciprofloxacin,S,0.25
GEN-0145,Gentamicin,R,8.0
GEN-0145,Meropenem,S,0.12
GEN-0146,Ceftriaxone,S,0.12
GEN-0146,Ciprofloxacin,R,32.0
GEN-0146,Meropenem,S,0.25
GEN-0147,Ceftriaxone,S,0.03
GEN-0147,Ciprofloxacin,R,8.0
GEN-0147,Meropenem,S,0.25
GEN-0148,Ceftriaxone,S,0.03
GEN-0148,Ciprofloxacin,R,16.0
GEN-0148,Meropenem,S,0.25
GEN-0149,Ceftriaxone,S,0.12
GEN-0149,Ciprofloxacin,S,0.06
GEN-0149,Meropenem,S,0.03
GEN-0150,Ceftriaxone,S,0.03
GEN-0150,Ciprofloxacin,R,8.0
GEN-0150,Meropenem,S,0.06
GEN-0151,Ciprofloxacin,R,8.0
GEN-0151,Meropenem,S,0.25
GEN-0152,Ceftriaxone,S,0.25
GEN-0152,Ciprofloxacin,R,64.0
GEN-0152,Meropenem,R,32.0
GEN-0153,Ceftriaxone,S,0.12
GEN-0153,Ciprofloxacin,R,16.0
GEN-0153,Gentamicin,S,0.12
GEN-0153,Meropenem,S,0.25
GEN-0154,Ceftriaxone,S,0.06
GEN-0154,Ciprofloxacin,R,32.0
GEN-0154,Gentamicin,S,0.25
GEN-0154,Meropenem,S,0.03
GEN-0155,Ceftriaxone,S,0.06
GEN-0155,Gentamicin,S,0.06
GEN-0155,Meropenem,S,0.25
GEN-0156,Ceftriaxone,S,0.12
GEN-0156,Ciprofloxacin,R,8.0
GEN-0156,Gentamicin,S,0.03
GEN-0157,Ceftriaxone,S,0.06
GEN-0157,Meropenem,S,0.06
GEN-0158,Ciprofloxacin,R,32.0
GEN-0158,Gentamicin,R,32.0
GEN-0158,Meropenem,S,0.03
GEN-0159,Ciprofloxacin,R,32.0
GEN-0159,Meropenem,S,0.12
GEN-0160,Ciprofloxacin,R,32.0
GEN-0160,Gentamicin,S,0.12
GEN-0161,Ciprofloxacin,R,8.0
GEN-0161,Gentamicin,R,16.0
GEN-0162,Ceftriaxone,S,0.06
GEN-0162,Gentamicin,R,16.0
GEN-0162,Meropenem,S,0.25
GEN-0163,Ceftriaxone,S,0.06
GEN-0163,Ciprofloxacin,R,32.0
GEN-0163,Meropenem,S,0.06
GEN-0164,Ciprofloxacin,R,8.0
GEN-0164,Gentamicin,S,0.25
GEN-0165,Ceftriaxone,S,0.03
GEN-0165,Ciprofloxacin,R,32.0
GEN-0166,Ceftriaxone,S,0.03
GEN-0166,Ciprofloxacin,R,16.0
GEN-0166,Gentamicin,S,0.25
GEN-0167,Ceftriaxone,S,0.12
GEN-0167,Ciprofloxacin,R,16.0
GEN-0167,Gentamicin,S,0.06
GEN-0167,Meropenem,S,0.12
GEN-0168,Ceftriaxone,S,0.12
GEN-0168,Ciprofloxacin,R,8.0
GEN-0168,Gentamicin,S,0.03
GEN-0168,Meropenem,S,0.06
GEN-0169,Ceftriaxone,R,64.0
GEN-0169,Ciprofloxacin,S,0.03
GEN-0169,Gentamicin,R,64.0
GEN-0169,Meropenem,R,16.0
GEN-0170,Ceftriaxone,R,16.0
GEN-0170,Ciprofloxacin,S,0.25
GEN-0170,Gentamicin,R,32.0
GEN-0170,Meropenem,S,0.12
GEN-0171,Ciprofloxacin,S,0.25
GEN-0171,Gentamicin,R,8.0
GEN-0171,Meropenem,S,0.06
GEN-0172,Ceftriaxone,R,64.0
GEN-0172,Ciprofloxacin,S,0.25
GEN-0172,Gentamicin,S,0.06
GEN-0172,Meropenem,R,8.0
GEN-0173,Ceftriaxone,R,16.0
GEN-0173,Ciprofloxacin,S,0.03
GEN-0173,Gentamicin,R,8.0
GEN-0173,Meropenem,S,0.06
GEN-0174,Ceftriaxone,R,64.0
GEN-0174,Ciprofloxacin,S,0.12
GEN-0174,Gentamicin,R,16.0
GEN-0175,Ceftriaxone,R,32.0
GEN-0175,Ciprofloxacin,S,0.03
GEN-0175,Gentamicin,R,32.0
GEN-0176,Ceftriaxone,R,32.0
GEN-0176,Ciprofloxacin,R,16.0
GEN-0176,Gentamicin,R,16.0
GEN-0176,Meropenem,S,0.06
GEN-0177,Ceftriaxone,R,16.0
GEN-0177,Ciprofloxacin,S,0.03
GEN-0177,Gentamicin,R,16.0
GEN-0178,Ceftriaxone,R,64.0
GEN-0178,Ciprofloxacin,S,0.12
GEN-0178,Gentamicin,R,32.0
GEN-0178,Meropenem,S,0.25
GEN-0179,Ceftriaxone,R,64.0
GEN-0179,Ciprofloxacin,S,0.06
GEN-0179,Gentamicin,R,8.0
GEN-0179,Meropenem,S,0.06
GEN-0180,Ceftriaxone,S,0.12
GEN-0180,Gentamicin,S,0.12
GEN-0180,Meropenem,S,0.03
GEN-0181,Ceftriaxone,R,16.0
GEN-0181,Ciprofloxacin,R,32.0
GEN-0181,Meropenem,S,0.25
GEN-0182,Ceftriaxone,S,0.25
GEN-0182,Ciprofloxacin,R,32.0
GEN-0182,Gentamicin,S,0.06
GEN-0182,Meropenem,S,0.25
GEN-0183,Ciprofloxacin,R,64.0
GEN-0183,Gentamicin,S,0.25
GEN-0183,Meropenem,S,0.12
GEN-0184,Ceftriaxone,R,16.0
GEN-0184,Ciprofloxacin,R,16.0
GEN-0184,Meropenem,S,0.03
GEN-0185,Ceftriaxone,S,0.06
GEN-0185,Gentamicin,S,0.12
GEN-0186,Ciprofloxacin,R,32.0
GEN-0186,Gentamicin,S,0.03
GEN-0186,Meropenem,R,8.0
GEN-0187,Ceftriaxone,S,0.03
GEN-0187,Ciprofloxacin,S,0.12
GEN-0187,Gentamicin,S,0.06
GEN-0187,Meropenem,R,64.0
GEN-0188,Ceftriaxone,S,0.25
GEN-0188,Ciprofloxacin,R,32.0
GEN-0188,Gentamicin,S,0.25
GEN-0188,Meropenem,S,0.12
GEN-0189,Ciprofloxacin,R,64.0
GEN-0189,Meropenem,S,0.03
GEN-0190,Ceftriaxone,S,0.12
GEN-0190,Ciprofloxacin,R,8.0
GEN-0190,Gentamicin,S,0.12
GEN-0190,Meropenem,S,0.03
GEN-0191,Ceftriaxone,S,0.12
GEN-0191,Ciprofloxacin,R,16.0
GEN-0191,Gentamicin,S,0.06
GEN-0191,Meropenem,S,0.03
GEN-0192,Ceftriaxone,S,0.12
GEN-0192,Ciprofloxacin,R,16.0
GEN-0192,Gentamicin,S,0.06
GEN-0192,Meropenem,S,0.06
GEN-0193,Gentamicin,S,0.12
GEN-0194,Gentamicin,S,0.12
GEN-0194,Meropenem,S,0.25
GEN-0195,Ciprofloxacin,R,32.0
GEN-0195,Gentamicin,S,0.12
GEN-0195,Meropenem,S,0.06
GEN-0196,Ceftriaxone,S,0.03
GEN-0196,Ciprofloxacin,R,8.0
GEN-0196,Gentamicin,S,0.25
GEN-0196,Meropenem,S,0.06
GEN-0197,Ciprofloxacin,R,32.0
GEN-0197,Gentamicin,S,0.03
GEN-0198,Ceftriaxone,S,0.25
GEN-0198,Ciprofloxacin,S,0.03
GEN-0198,Gentamicin,R,32.0
GEN-0198,Meropenem,S,0.25
GEN-0199,Ceftriaxone,S,0.06
GEN-0199,Ciprofloxacin,S,0.12
GEN-0199,Gentamicin,S,0.06
GEN-0199,Meropenem,S,0.12
GEN-0200,Ceftriaxone,S,0.12
GEN-0200,Gentamicin,S,0.25
GEN-0201,Ceftriaxone,S,0.12
GEN-0201,Ciprofloxacin,S,0.12
GEN-0201,Gentamicin,S,0.25
GEN-0201,Meropenem,R,64.0
GEN-0202,Ceftriaxone,S,0.06
GEN-0202,Ciprofloxacin,S,0.12
GEN-0202,Gentamicin,S,0.06
GEN-0202,Meropenem,S,0.03
GEN-0203,Ceftriaxone,S,0.03
GEN-0203,Gentamicin,S,0.06
GEN-0203,Meropenem,S,0.12
GEN-0204,Gentamicin,R,32.0
GEN-0205,Ceftriaxone,R,8.0
GEN-0205,Gentamicin,R,32.0
GEN-0205,Meropenem,S,0.06
GEN-0206,Ceftriaxone,R,64.0
GEN-0206,Meropenem,S,0.06
GEN-0207,Ceftriaxone,R,16.0
GEN-0207,Ciprofloxacin,R,16.0
GEN-0207,Gentamicin,R,32.0
GEN-0207,Meropenem,S,0.03
GEN-0208,Ceftriaxone,R,8.0
GEN-0208,Ciprofloxacin,S,0.25
GEN-0208,Gentamicin,R,16.0
GEN-0208,Meropenem,S,0.06
GEN-0209,Ceftriaxone,R,64.0
GEN-0210,Ciprofloxacin,S,0.06
GEN-0210,Gentamicin,S,0.12
GEN-0211,Ceftriaxone,R,8.0
GEN-0211,Gentamicin,S,0.25
GEN-0211,Meropenem,S,0.06
GEN-0212,Ceftriaxone,R,16.0
GEN-0212,Ciprofloxacin,R,64.0
GEN-0212,Gentamicin,R,8.0
GEN-0212,Meropenem,S,0.25
GEN-0213,Ceftriaxone,R,8.0
GEN-0213,Ciprofloxacin,S,0.03
GEN-0213,Gentamicin,R,16.0
GEN-0213,Meropenem,S,0.06
GEN-0214,Ceftriaxone,R,64.0
GEN-0214,Ciprofloxacin,S,0.03
GEN-0214,Meropenem,S,0.06
GEN-0215,Ceftriaxone,R,16.0
GEN-0215,Gentamicin,S,0.06
GEN-0215,Meropenem,S,0.06
GEN-0216,Ceftriaxone,R,16.0
GEN-0216,Ciprofloxacin,S,0.25
GEN-0216,Gentamicin,R,16.0
GEN-0216,Meropenem,S,0.03
