genome_id,species,cluster_id
562.100809,Escherichia coli,ST-58
562.100811,Escherichia coli,ST-69
562.100813,Escherichia coli,ST-12
562.100815,Escherichia coli,ST-95
562.100819,Escherichia coli,ST-58
562.100820,Escherichia coli,ST-14
562.100821,Escherichia coli,ST-59
562.100824,Escherichia coli,ST-73
562.100825,Escherichia coli,ST-131
562.100832,Escherichia coli,ST-73
562.100847,Escherichia coli,ST-95
562.100854,Escherichia coli,ST-95
562.100861,Escherichia coli,ST-38
562.100865,Escherichia coli,ST-73
562.100882,Escherichia coli,ST-1193
562.100886,Escherichia coli,ST-131
562.100893,Escherichia coli,ST-58
562.100894,Escherichia coli,ST-1159
562.100895,Escherichia coli,ST-127
562.100896,Escherichia coli,ST-73
562.100903,Escherichia coli,ST-1643
562.100907,Escherichia coli,ST-88
562.100908,Escherichia coli,ST-95
562.100912,Escherichia coli,ST-58
562.100914,Escherichia coli,ST-6
562.100924,Escherichia coli,ST-69
562.100928,Escherichia coli,ST-69
562.100931,Escherichia coli,ST-73
562.100935,Escherichia coli,ST-95
562.100937,Escherichia coli,ST-69
562.100938,Escherichia coli,ST-73
562.100945,Escherichia coli,ST-73
562.100948,Escherichia coli,ST-131
562.100950,Escherichia coli,ST-73
562.100959,Escherichia coli,ST-155
562.12961,Escherichia coli,ST-3839
562.135559,Escherichia coli,ST-167
562.135561,Escherichia coli,ST-692
562.135569,Escherichia coli,ST-2083
562.135571,Escherichia coli,ST-8346
562.135572,Escherichia coli,ST-156
562.135579,Escherichia coli,ST-167
562.135580,Escherichia coli,ST-167
562.135582,Escherichia coli,ST-2083
562.135586,Escherichia coli,ST-167
562.135591,Escherichia coli,ST-410
562.140824,Escherichia coli,ST-131
562.140828,Escherichia coli,ST-131
562.140834,Escherichia coli,ST-131
562.140835,Escherichia coli,ST-131
562.140837,Escherichia coli,ST-131
562.140841,Escherichia coli,ST-131
562.140844,Escherichia coli,ST-131
562.140852,Escherichia coli,ST-131
562.140861,Escherichia coli,ST-131
562.140865,Escherichia coli,ST-131
562.140870,Escherichia coli,ST-131
562.140872,Escherichia coli,ST-131
562.140876,Escherichia coli,ST-131
562.140878,Escherichia coli,ST-131
562.140881,Escherichia coli,ST-131
562.140882,Escherichia coli,ST-131
562.140886,Escherichia coli,ST-131
562.140893,Escherichia coli,ST-131
562.140894,Escherichia coli,ST-131
562.140903,Escherichia coli,ST-131
562.140912,Escherichia coli,ST-131
562.140915,Escherichia coli,ST-131
562.144150,Escherichia coli,ST-162
562.144180,Escherichia coli,ST-1485
562.144186,Escherichia coli,ST-1049
562.144190,Escherichia coli,ST-12
562.144198,Escherichia coli,ST-58
562.144205,Escherichia coli,ST-357
562.144209,Escherichia coli,ST-131
562.144217,Escherichia coli,ST-542
562.144218,Escherichia coli,ST-2083
562.144221,Escherichia coli,ST-8819
562.144225,Escherichia coli,ST-1727
562.144246,Escherichia coli,ST-636
562.144250,Escherichia coli,ST-38
562.144258,Escherichia coli,ST-57
562.144314,Escherichia coli,ST-540
562.144331,Escherichia coli,ST-69
562.144921,Escherichia coli,ST-405
562.144931,Escherichia coli,ST-2083
562.144933,Escherichia coli,ST-405
562.144935,Escherichia coli,ST-405
562.144944,Escherichia coli,ST-2178
562.144945,Escherichia coli,ST-2951
562.144946,Escherichia coli,ST-442
562.144947,Escherichia coli,ST-300
562.144948,Escherichia coli,ST-332
562.144949,Escherichia coli,ST-300
562.144950,Escherichia coli,ST-40
562.144951,Escherichia coli,ST-738
562.144953,Escherichia coli,ST-34
562.144955,Escherichia coli,ST-443
562.144960,Escherichia coli,ST-590
562.144961,Escherichia coli,ST-655
562.144962,Escherichia coli,ST-753
562.144963,Escherichia coli,ST-10
562.144964,Escherichia coli,ST-109
562.144966,Escherichia coli,ST-10
562.144967,Escherichia coli,ST-738
562.144969,Escherichia coli,ST-677
562.144970,Escherichia coli,ST-13588
562.144971,Escherichia coli,ST-583
562.144972,Escherichia coli,ST-13587
562.144973,Escherichia coli,ST-793
562.144974,Escherichia coli,ST-738
562.144976,Escherichia coli,ST-442
562.144977,Escherichia coli,ST-718
562.144980,Escherichia coli,ST-328
562.144981,Escherichia coli,ST-137
562.144982,Escherichia coli,ST-11
562.144983,Escherichia coli,ST-420
562.144984,Escherichia coli,ST-13
562.144985,Escherichia coli,ST-793
562.144987,Escherichia coli,ST-655
562.144989,Escherichia coli,ST-738
562.144990,Escherichia coli,ST-216
562.144991,Escherichia coli,ST-69
562.144992,Escherichia coli,ST-10
562.144993,Escherichia coli,ST-655
562.144994,Escherichia coli,ST-328
562.144995,Escherichia coli,ST-443
562.144996,Escherichia coli,ST-20
562.144997,Escherichia coli,ST-442
562.144998,Escherichia coli,ST-3101
562.145000,Escherichia coli,ST-13
562.145001,Escherichia coli,ST-420
562.145002,Escherichia coli,ST-738
562.145005,Escherichia coli,ST-10
562.145006,Escherichia coli,ST-10
562.145010,Escherichia coli,ST-10
562.145011,Escherichia coli,ST-442
562.145012,Escherichia coli,ST-17
562.145013,Escherichia coli,ST-13586
562.145015,Escherichia coli,ST-20
562.145017,Escherichia coli,ST-25
562.145020,Escherichia coli,ST-86
562.145021,Escherichia coli,ST-327
562.145022,Escherichia coli,ST-590
562.145023,Escherichia coli,ST-3546
562.145024,Escherichia coli,ST-1011
562.145025,Escherichia coli,ST-13581
562.145026,Escherichia coli,ST-642
562.145028,Escherichia coli,ST-590
562.145029,Escherichia coli,ST-738
562.145030,Escherichia coli,ST-13
562.145031,Escherichia coli,ST-20
562.145032,Escherichia coli,ST-2086
562.145033,Escherichia coli,ST-13
562.145034,Escherichia coli,ST-442
562.145036,Escherichia coli,ST-2559
562.145037,Escherichia coli,ST-793
562.145038,Escherichia coli,ST-13
562.145039,Escherichia coli,ST-642
562.145041,Escherichia coli,ST-29
562.145042,Escherichia coli,ST-10
562.145046,Escherichia coli,ST-641
562.145047,Escherichia coli,ST-677
562.145050,Escherichia coli,ST-442
562.145051,Escherichia coli,ST-297
562.145053,Escherichia coli,ST-10
562.145056,Escherichia coli,ST-13538
562.145059,Escherichia coli,ST-306
562.145060,Escherichia coli,ST-788
562.145063,Escherichia coli,ST-11
562.145064,Escherichia coli,ST-20
562.145065,Escherichia coli,ST-21
562.145066,Escherichia coli,ST-123
562.145067,Escherichia coli,ST-590
562.145068,Escherichia coli,ST-442
562.145069,Escherichia coli,ST-13537
562.145070,Escherichia coli,ST-302
562.145073,Escherichia coli,ST-442
562.145074,Escherichia coli,ST-641
562.145075,Escherichia coli,ST-1114
562.145076,Escherichia coli,ST-1011
562.145077,Escherichia coli,ST-10
562.145078,Escherichia coli,ST-2538
562.145079,Escherichia coli,ST-300
562.145080,Escherichia coli,ST-11
562.145384,Escherichia coli,ST-155
562.145385,Escherichia coli,ST-155
562.145386,Escherichia coli,ST-38
562.145389,Escherichia coli,ST-155
562.145392,Escherichia coli,ST-155
562.145398,Escherichia coli,ST-1640
562.145399,Escherichia coli,ST-2171
562.145400,Escherichia coli,ST-38
562.145402,Escherichia coli,ST-38
562.145403,Escherichia coli,ST-453
562.145405,Escherichia coli,ST-38
562.145420,Escherichia coli,ST-155
562.145427,Escherichia coli,ST-117
562.145429,Escherichia coli,ST-155
562.145430,Escherichia coli,ST-155
562.145433,Escherichia coli,ST-117
562.145819,Escherichia coli,ST-95
562.16324,Escherichia coli,ST-101
562.16466,Escherichia coli,ST-617
562.17359,Escherichia coli,ST-131
562.19090,Escherichia coli,ST-533
562.19180,Escherichia coli,ST-5730
562.19633,Escherichia coli,ST-101
562.20499,Escherichia coli,ST-167
562.22428,Escherichia coli,ST-135
562.22432,Escherichia coli,ST-131
562.22433,Escherichia coli,ST-95
562.22434,Escherichia coli,ST-648
562.22435,Escherichia coli,ST-69
562.22436,Escherichia coli,ST-5375
562.22437,Escherichia coli,ST-95
562.22438,Escherichia coli,ST-127
562.22439,Escherichia coli,ST-5561
562.22441,Escherichia coli,ST-73
562.22442,Escherichia coli,ST-131
562.22445,Escherichia coli,ST-131
562.22447,Escherichia coli,ST-95
562.22448,Escherichia coli,ST-12
562.22452,Escherichia coli,ST-62
562.22453,Escherichia coli,ST-635
562.22454,Escherichia coli,ST-95
562.22455,Escherichia coli,ST-131
562.22459,Escherichia coli,ST-5338
562.22460,Escherichia coli,ST-453
562.22461,Escherichia coli,ST-69
562.22464,Escherichia coli,ST-405
562.22465,Escherichia coli,ST-131
562.22466,Escherichia coli,ST-69
562.22467,Escherichia coli,ST-80
562.22469,Escherichia coli,ST-73
562.22470,Escherichia coli,ST-1148
562.22471,Escherichia coli,ST-69
562.22472,Escherichia coli,ST-73
562.22473,Escherichia coli,ST-69
562.22474,Escherichia coli,ST-73
562.22477,Escherichia coli,ST-2015
562.22479,Escherichia coli,ST-131
562.22480,Escherichia coli,ST-88
562.22481,Escherichia coli,ST-648
562.22482,Escherichia coli,ST-59
562.22484,Escherichia coli,ST-69
562.22485,Escherichia coli,ST-69
562.22486,Escherichia coli,ST-1485
562.22487,Escherichia coli,ST-357
562.22489,Escherichia coli,ST-73
562.22490,Escherichia coli,ST-95
562.22492,Escherichia coli,ST-73
562.22494,Escherichia coli,ST-95
562.22495,Escherichia coli,ST-1594
562.22496,Escherichia coli,ST-115
562.22497,Escherichia coli,ST-73
562.22498,Escherichia coli,ST-46
562.22499,Escherichia coli,ST-131
562.22500,Escherichia coli,ST-73
562.22505,Escherichia coli,ST-73
562.22506,Escherichia coli,ST-73
562.22507,Escherichia coli,ST-405
562.22508,Escherichia coli,ST-69
562.22509,Escherichia coli,ST-95
562.22510,Escherichia coli,ST-14
562.22511,Escherichia coli,ST-10
562.22512,Escherichia coli,ST-404
562.22513,Escherichia coli,ST-80
562.22516,Escherichia coli,ST-69
562.22517,Escherichia coli,ST-14
562.22518,Escherichia coli,ST-131
562.22520,Escherichia coli,ST-405
562.22521,Escherichia coli,ST-349
562.22522,Escherichia coli,ST-2773
562.22523,Escherichia coli,ST-73
562.22524,Escherichia coli,ST-144
562.22525,Escherichia coli,ST-73
562.22526,Escherichia coli,ST-127
562.22527,Escherichia coli,ST-393
562.22528,Escherichia coli,ST-73
562.22529,Escherichia coli,ST-963
562.22532,Escherichia coli,ST-144
562.22533,Escherichia coli,ST-127
562.22534,Escherichia coli,ST-404
562.22538,Escherichia coli,ST-95
562.22539,Escherichia coli,ST-131
562.22540,Escherichia coli,ST-104
562.22541,Escherichia coli,ST-131
562.22543,Escherichia coli,ST-131
562.22545,Escherichia coli,ST-73
562.22546,Escherichia coli,ST-69
562.22549,Escherichia coli,ST-59
562.22550,Escherichia coli,ST-95
562.22551,Escherichia coli,ST-131
562.22552,Escherichia coli,ST-73
562.22553,Escherichia coli,ST-12
562.22554,Escherichia coli,ST-10
562.22555,Escherichia coli,ST-131
562.22556,Escherichia coli,ST-5663
562.22557,Escherichia coli,ST-95
562.22558,Escherichia coli,ST-5484
562.22559,Escherichia coli,ST-95
562.22561,Escherichia coli,ST-131
562.22563,Escherichia coli,ST-95
562.22564,Escherichia coli,ST-95
562.22567,Escherichia coli,ST-5606
562.22570,Escherichia coli,ST-144
562.22571,Escherichia coli,ST-80
562.22572,Escherichia coli,ST-73
562.22573,Escherichia coli,ST-95
562.22574,Escherichia coli,ST-73
562.22576,Escherichia coli,ST-390
562.22577,Escherichia coli,ST-127
562.22578,Escherichia coli,ST-62
562.22579,Escherichia coli,ST-5253
562.22582,Escherichia coli,ST-5387
562.22584,Escherichia coli,ST-625
562.22585,Escherichia coli,ST-95
562.22586,Escherichia coli,ST-393
562.22587,Escherichia coli,ST-73
562.22590,Escherichia coli,ST-428
562.22591,Escherichia coli,ST-2067
562.22592,Escherichia coli,ST-73
562.22593,Escherichia coli,ST-80
562.22594,Escherichia coli,ST-73
562.22595,Escherichia coli,ST-131
562.22599,Escherichia coli,ST-5629
562.22600,Escherichia coli,ST-88
562.22601,Escherichia coli,ST-131
562.22602,Escherichia coli,ST-69
562.22603,Escherichia coli,ST-73
562.22604,Escherichia coli,ST-95
562.22605,Escherichia coli,ST-372
562.22606,Escherichia coli,ST-73
562.22607,Escherichia coli,ST-117
562.22608,Escherichia coli,ST-5576
562.22609,Escherichia coli,ST-73
562.22610,Escherichia coli,ST-131
562.22611,Escherichia coli,ST-131
562.22612,Escherichia coli,ST-131
562.22614,Escherichia coli,ST-223
562.22615,Escherichia coli,ST-73
562.22617,Escherichia coli,ST-95
562.22618,Escherichia coli,ST-1722
562.22620,Escherichia coli,ST-131
562.22621,Escherichia coli,ST-1618
562.22622,Escherichia coli,ST-131
562.22623,Escherichia coli,ST-73
562.22624,Escherichia coli,ST-73
562.22625,Escherichia coli,ST-357
562.22626,Escherichia coli,ST-131
562.22628,Escherichia coli,ST-2967
562.22632,Escherichia coli,ST-95
562.22633,Escherichia coli,ST-5308
562.22634,Escherichia coli,ST-73
562.22635,Escherichia coli,ST-131
562.22636,Escherichia coli,ST-69
562.22637,Escherichia coli,ST-131
562.22638,Escherichia coli,ST-73
562.22639,Escherichia coli,ST-38
562.22640,Escherichia coli,ST-10
562.22643,Escherichia coli,ST-753
562.22644,Escherichia coli,ST-73
562.22646,Escherichia coli,ST-131
562.22647,Escherichia coli,ST-95
562.22648,Escherichia coli,ST-5678
562.22649,Escherichia coli,ST-95
562.22650,Escherichia coli,ST-131
562.22651,Escherichia coli,ST-453
562.22652,Escherichia coli,ST-69
562.22654,Escherichia coli,ST-357
562.22655,Escherichia coli,ST-131
562.22656,Escherichia coli,ST-73
562.22658,Escherichia coli,ST-141
562.22659,Escherichia coli,ST-59
562.22662,Escherichia coli,ST-69
562.22663,Escherichia coli,ST-73
562.22664,Escherichia coli,ST-646
562.22666,Escherichia coli,ST-59
562.22668,Escherichia coli,ST-95
562.22669,Escherichia coli,ST-131
562.22670,Escherichia coli,ST-131
562.22672,Escherichia coli,ST-69
562.22673,Escherichia coli,ST-95
562.22674,Escherichia coli,ST-127
562.22675,Escherichia coli,ST-5585
562.22676,Escherichia coli,ST-69
562.22677,Escherichia coli,ST-361
562.22678,Escherichia coli,ST-357
562.22679,Escherichia coli,ST-963
562.22680,Escherichia coli,ST-131
562.22681,Escherichia coli,ST-550
562.22686,Escherichia coli,ST-73
562.22687,Escherichia coli,ST-10
562.22688,Escherichia coli,ST-69
562.22691,Escherichia coli,ST-131
562.22693,Escherichia coli,ST-69
562.22694,Escherichia coli,ST-131
562.22695,Escherichia coli,ST-38
562.22696,Escherichia coli,ST-4702
562.22697,Escherichia coli,ST-28
562.22698,Escherichia coli,ST-14
562.22699,Escherichia coli,ST-428
562.22700,Escherichia coli,ST-44
562.22701,Escherichia coli,ST-93
562.22702,Escherichia coli,ST-73
562.22703,Escherichia coli,ST-95
562.22705,Escherichia coli,ST-95
562.22706,Escherichia coli,ST-14
562.22707,Escherichia coli,ST-540
562.22708,Escherichia coli,ST-648
562.22710,Escherichia coli,ST-5351
562.22711,Escherichia coli,ST-95
562.22712,Escherichia coli,ST-73
562.22713,Escherichia coli,ST-38
562.22714,Escherichia coli,ST-1979
562.22717,Escherichia coli,ST-131
562.22719,Escherichia coli,ST-567
562.22720,Escherichia coli,ST-5589
562.22721,Escherichia coli,ST-95
562.22722,Escherichia coli,ST-5593
562.22724,Escherichia coli,ST-1431
562.22726,Escherichia coli,ST-390
562.22728,Escherichia coli,ST-95
562.22729,Escherichia coli,ST-95
562.22730,Escherichia coli,ST-95
562.22731,Escherichia coli,ST-569
562.22734,Escherichia coli,ST-38
562.22735,Escherichia coli,ST-69
562.22736,Escherichia coli,ST-95
562.22737,Escherichia coli,ST-405
562.22740,Escherichia coli,ST-357
562.22741,Escherichia coli,ST-38
562.22742,Escherichia coli,ST-5389
562.22743,Escherichia coli,ST-547
562.22745,Escherichia coli,ST-73
562.22746,Escherichia coli,ST-773
562.22747,Escherichia coli,ST-58
562.22748,Escherichia coli,ST-127
562.22750,Escherichia coli,ST-38
562.22751,Escherichia coli,ST-69
562.22752,Escherichia coli,ST-14
562.22753,Escherichia coli,ST-95
562.22754,Escherichia coli,ST-131
562.22755,Escherichia coli,ST-5494
562.22756,Escherichia coli,ST-127
562.22757,Escherichia coli,ST-59
562.22758,Escherichia coli,ST-58
562.22759,Escherichia coli,ST-73
562.22760,Escherichia coli,ST-2526
562.22761,Escherichia coli,ST-12
562.22762,Escherichia coli,ST-131
562.22763,Escherichia coli,ST-973
562.22764,Escherichia coli,ST-38
562.22766,Escherichia coli,ST-95
562.22767,Escherichia coli,ST-95
562.22768,Escherichia coli,ST-131
562.22769,Escherichia coli,ST-73
562.22771,Escherichia coli,ST-998
562.22772,Escherichia coli,ST-69
562.22773,Escherichia coli,ST-131
562.22774,Escherichia coli,ST-73
562.22775,Escherichia coli,ST-58
562.22776,Escherichia coli,ST-91
562.22777,Escherichia coli,ST-127
562.22782,Escherichia coli,ST-73
562.22784,Escherichia coli,ST-131
562.22787,Escherichia coli,ST-73
562.22790,Escherichia coli,ST-73
562.22791,Escherichia coli,ST-1170
562.22793,Escherichia coli,ST-95
562.22795,Escherichia coli,ST-357
562.22796,Escherichia coli,ST-2802
562.22797,Escherichia coli,ST-131
562.22798,Escherichia coli,ST-550
562.22800,Escherichia coli,ST-73
562.22802,Escherichia coli,ST-23
562.22803,Escherichia coli,ST-95
562.22804,Escherichia coli,ST-95
562.22805,Escherichia coli,ST-95
562.22806,Escherichia coli,ST-131
562.22807,Escherichia coli,ST-457
562.22808,Escherichia coli,ST-95
562.22809,Escherichia coli,ST-10
562.22812,Escherichia coli,ST-73
562.22813,Escherichia coli,ST-131
562.22814,Escherichia coli,ST-131
562.22815,Escherichia coli,ST-131
562.22816,Escherichia coli,ST-73
562.22818,Escherichia coli,ST-73
562.22819,Escherichia coli,ST-73
562.22820,Escherichia coli,ST-131
562.22821,Escherichia coli,ST-131
562.22822,Escherichia coli,ST-131
562.22823,Escherichia coli,ST-357
562.22825,Escherichia coli,ST-144
562.22826,Escherichia coli,ST-12
562.22827,Escherichia coli,ST-12
562.22830,Escherichia coli,ST-127
562.22845,Escherichia coli,ST-95
562.22872,Escherichia coli,ST-144
562.22873,Escherichia coli,ST-12
562.22874,Escherichia coli,ST-1494
562.22875,Escherichia coli,ST-10
562.22876,Escherichia coli,ST-5432
562.22880,Escherichia coli,ST-69
562.22883,Escherichia coli,ST-357
562.22901,Escherichia coli,ST-404
562.22903,Escherichia coli,ST-117
562.22916,Escherichia coli,ST-73
562.22923,Escherichia coli,ST-354
562.22926,Escherichia coli,ST-95
562.22933,Escherichia coli,ST-405
562.22935,Escherichia coli,ST-12
562.22942,Escherichia coli,ST-393
562.22946,Escherichia coli,ST-127
562.22951,Escherichia coli,ST-59
562.22957,Escherichia coli,ST-73
562.22983,Escherichia coli,ST-73
562.22984,Escherichia coli,ST-12
562.22987,Escherichia coli,ST-141
562.22992,Escherichia coli,ST-59
562.23004,Escherichia coli,ST-10
562.23010,Escherichia coli,ST-73
562.23017,Escherichia coli,ST-62
562.23031,Escherichia coli,ST-369
562.23036,Escherichia coli,ST-491
562.23046,Escherichia coli,ST-2230
562.23087,Escherichia coli,ST-95
562.23088,Escherichia coli,ST-10
562.23089,Escherichia coli,ST-73
562.23091,Escherichia coli,ST-73
562.23096,Escherichia coli,ST-131
562.23110,Escherichia coli,ST-95
562.23116,Escherichia coli,ST-69
562.23122,Escherichia coli,ST-95
562.23132,Escherichia coli,ST-38
562.23135,Escherichia coli,ST-88
562.23136,Escherichia coli,ST-73
562.23139,Escherichia coli,ST-73
562.23140,Escherichia coli,ST-393
562.23141,Escherichia coli,ST-539
562.23156,Escherichia coli,ST-73
562.23160,Escherichia coli,ST-73
562.23178,Escherichia coli,ST-349
562.23181,Escherichia coli,ST-131
562.23198,Escherichia coli,ST-421
562.23221,Escherichia coli,ST-5597
562.23225,Escherichia coli,ST-95
562.23227,Escherichia coli,ST-73
562.23243,Escherichia coli,ST-73
562.23258,Escherichia coli,ST-58
562.23260,Escherichia coli,ST-2272
562.23261,Escherichia coli,ST-131
562.23264,Escherichia coli,ST-69
562.23266,Escherichia coli,ST-73
562.23279,Escherichia coli,ST-69
562.23285,Escherichia coli,ST-131
562.23299,Escherichia coli,ST-95
562.23309,Escherichia coli,ST-73
562.23320,Escherichia coli,ST-127
562.23323,Escherichia coli,ST-95
562.23327,Escherichia coli,ST-69
562.23328,Escherichia coli,ST-131
562.23335,Escherichia coli,ST-95
562.23336,Escherichia coli,ST-131
562.23342,Escherichia coli,ST-12
562.23363,Escherichia coli,ST-12
562.23366,Escherichia coli,ST-1972
562.23385,Escherichia coli,ST-443
562.23393,Escherichia coli,ST-131
562.23396,Escherichia coli,ST-131
562.23397,Escherichia coli,ST-95
562.23399,Escherichia coli,ST-131
562.23407,Escherichia coli,ST-357
562.23413,Escherichia coli,ST-131
562.23440,Escherichia coli,ST-69
562.23448,Escherichia coli,ST-38
562.23473,Escherichia coli,ST-69
562.23481,Escherichia coli,ST-648
562.23494,Escherichia coli,ST-405
562.23505,Escherichia coli,ST-131
562.23512,Escherichia coli,ST-95
562.23513,Escherichia coli,ST-73
562.23542,Escherichia coli,ST-131
562.23548,Escherichia coli,ST-73
562.23549,Escherichia coli,ST-127
562.23571,Escherichia coli,ST-131
562.23576,Escherichia coli,ST-929
562.23579,Escherichia coli,ST-352
562.23597,Escherichia coli,ST-73
562.23614,Escherichia coli,ST-676
562.23621,Escherichia coli,ST-69
562.23659,Escherichia coli,ST-131
562.23661,Escherichia coli,ST-537
562.23673,Escherichia coli,ST-117
562.23690,Escherichia coli,ST-95
562.23709,Escherichia coli,ST-1423
562.23727,Escherichia coli,ST-131
562.23728,Escherichia coli,ST-10
562.23730,Escherichia coli,ST-12
562.23740,Escherichia coli,ST-69
562.23743,Escherichia coli,ST-88
562.23763,Escherichia coli,ST-372
