genome_id,drug,phenotype
562.100308,Ampicillin,R
562.100308,Ciprofloxacin,S
562.100317,Ampicillin,R
562.100317,Ciprofloxacin,S
562.100324,Ampicillin,S
562.100324,Ciprofloxacin,S
562.100329,Ampicillin,S
562.100329,Ciprofloxacin,S
562.100331,Ampicillin,R
562.100331,Ciprofloxacin,R
562.100335,Ampicillin,R
562.100335,Ciprofloxacin,S
562.100344,Ampicillin,R
562.100344,Ciprofloxacin,R
562.100356,Ampicillin,S
562.100356,Ciprofloxacin,S
562.100359,Ampicillin,R
562.100359,Ciprofloxacin,S
562.100361,Ampicillin,R
562.100361,Ciprofloxacin,R
562.100376,Ampicillin,S
562.100376,Ciprofloxacin,S
562.100378,Ampicillin,S
562.100378,Ciprofloxacin,S
562.100391,Ampicillin,R
562.100391,Ciprofloxacin,S
562.100393,Ampicillin,S
562.100393,Ciprofloxacin,S
562.100394,Ampicillin,S
562.100399,Ampicillin,S
562.100399,Ciprofloxacin,S
562.100404,Ampicillin,S
562.100404,Ciprofloxacin,S
562.100412,Ampicillin,S
562.100412,Ciprofloxacin,S
562.100414,Ampicillin,R
562.100419,Ampicillin,S
562.100419,Ciprofloxacin,S
562.100424,Ampicillin,S
562.100424,Ciprofloxacin,S
562.100425,Ampicillin,S
562.100425,Ciprofloxacin,S
562.100433,Ampicillin,S
562.100433,Ciprofloxacin,S
562.100434,Ampicillin,S
562.100434,Ciprofloxacin,S
562.100438,Ampicillin,R
562.100438,Ciprofloxacin,S
562.100441,Ampicillin,S
562.100441,Ciprofloxacin,S
562.100445,Ampicillin,R
562.100445,Ciprofloxacin,R
562.100453,Ampicillin,S
562.100453,Ciprofloxacin,S
562.100454,Ampicillin,S
562.100454,Ciprofloxacin,S
562.100462,Ampicillin,S
562.100462,Ciprofloxacin,S
562.100469,Ampicillin,R
562.100469,Ciprofloxacin,S
562.100479,Ampicillin,R
562.100479,Ciprofloxacin,S
562.100483,Ampicillin,R
562.100483,Ciprofloxacin,S
562.100484,Ampicillin,S
562.100484,Ciprofloxacin,S
562.100487,Ampicillin,S
562.100487,Ciprofloxacin,S
562.100490,Ampicillin,R
562.100490,Ciprofloxacin,S
562.100491,Ampicillin,R
562.100491,Ciprofloxacin,S
562.100496,Ampicillin,S
562.100496,Ciprofloxacin,S
562.100500,Ampicillin,S
562.100500,Ciprofloxacin,S
562.100506,Ampicillin,R
562.100506,Ciprofloxacin,R
562.100508,Ampicillin,S
562.100508,Ciprofloxacin,S
562.100511,Ampicillin,S
562.100511,Ciprofloxacin,S
562.100514,Ampicillin,S
562.100514,Ciprofloxacin,S
562.100516,Ampicillin,S
562.100516,Ciprofloxacin,S
562.100520,Ampicillin,S
562.100520,Ciprofloxacin,S
562.100527,Ampicillin,R
562.100527,Ciprofloxacin,S
562.100530,Ampicillin,S
562.100530,Ciprofloxacin,S
562.100535,Ampicillin,S
562.100535,Ciprofloxacin,S
562.100540,Ampicillin,R
562.100540,Ciprofloxacin,R
562.100546,Ampicillin,R
562.100546,Ciprofloxacin,S
562.100550,Ampicillin,R
562.100550,Ciprofloxacin,S
562.100552,Ampicillin,S
562.100552,Ciprofloxacin,S
562.100556,Ampicillin,S
562.100556,Ciprofloxacin,S
562.100562,Ampicillin,R
562.100562,Ciprofloxacin,S
562.100567,Ampicillin,R
562.100567,Ciprofloxacin,S
562.100578,Ampicillin,S
562.100578,Ciprofloxacin,S
562.100581,Ampicillin,S
562.100581,Ciprofloxacin,S
562.100588,Ampicillin,R
562.100588,Ciprofloxacin,S
562.100601,Ampicillin,R
562.100601,Ciprofloxacin,S
562.100602,Ampicillin,S
562.100602,Ciprofloxacin,S
562.100604,Ampicillin,S
562.100604,Ciprofloxacin,S
562.100605,Ampicillin,R
562.100605,Ciprofloxacin,S
562.100606,Ampicillin,S
562.100606,Ciprofloxacin,S
562.100612,Ampicillin,R
562.100612,Ciprofloxacin,S
562.100615,Ampicillin,R
562.100615,Ciprofloxacin,S
562.100625,Ampicillin,R
562.100625,Ciprofloxacin,S
562.100627,Ampicillin,S
562.100627,Ciprofloxacin,S
562.100628,Ampicillin,R
562.100628,Ciprofloxacin,S
562.100631,Ampicillin,S
562.100631,Ciprofloxacin,S
562.100651,Ampicillin,S
562.100651,Ciprofloxacin,S
562.100653,Ampicillin,S
562.100653,Ciprofloxacin,R
562.100655,Ampicillin,R
562.100655,Ciprofloxacin,S
562.100661,Ampicillin,R
562.100666,Ampicillin,S
562.100666,Ciprofloxacin,R
562.100669,Ampicillin,R
562.100669,Ciprofloxacin,S
562.100675,Ampicillin,S
562.100675,Ciprofloxacin,S
562.100676,Ampicillin,S
562.100676,Ciprofloxacin,S
562.100678,Ampicillin,R
562.100678,Ciprofloxacin,R
562.100682,Ampicillin,S
562.100682,Ciprofloxacin,S
562.100685,Ampicillin,S
562.100685,Ciprofloxacin,S
562.100690,Ampicillin,S
562.100690,Ciprofloxacin,S
562.100696,Ampicillin,S
562.100696,Ciprofloxacin,S
562.100697,Ampicillin,S
562.100697,Ciprofloxacin,S
562.100704,Ampicillin,R
562.100704,Ciprofloxacin,R
562.100707,Ampicillin,R
562.100716,Ampicillin,S
562.100716,Ciprofloxacin,S
562.100717,Ampicillin,R
562.100717,Ciprofloxacin,S
562.100718,Ampicillin,S
562.100718,Ciprofloxacin,S
562.100721,Ampicillin,R
562.100721,Ciprofloxacin,S
562.100724,Ampicillin,R
562.100724,Ciprofloxacin,S
562.100728,Ampicillin,R
562.100728,Ciprofloxacin,S
562.100734,Ampicillin,R
562.100734,Ciprofloxacin,R
562.100761,Ampicillin,S
562.100761,Ciprofloxacin,R
562.100763,Ampicillin,R
562.100763,Ciprofloxacin,S
562.100764,Ampicillin,S
562.100764,Ciprofloxacin,S
562.100769,Ampicillin,S
562.100769,Ciprofloxacin,S
562.100772,Ampicillin,S
562.100772,Ciprofloxacin,R
562.100786,Ampicillin,R
562.100786,Ciprofloxacin,R
562.100788,Ampicillin,R
562.100794,Ampicillin,S
562.100794,Ciprofloxacin,S
562.100804,Ampicillin,R
562.100804,Ciprofloxacin,S
562.100808,Ampicillin,S
562.100808,Ciprofloxacin,S
562.100809,Ampicillin,R
562.100809,Ciprofloxacin,S
562.100811,Ampicillin,S
562.100813,Ampicillin,S
562.100813,Ciprofloxacin,S
562.100815,Ampicillin,S
562.100815,Ciprofloxacin,S
562.100819,Ampicillin,R
562.100819,Ciprofloxacin,S
562.100820,Ampicillin,R
562.100820,Ciprofloxacin,S
562.100821,Ampicillin,S
562.100821,Ciprofloxacin,S
562.100824,Ampicillin,R
562.100824,Ciprofloxacin,S
562.100825,Ampicillin,R
562.100825,Ciprofloxacin,R
562.100832,Ampicillin,S
562.100832,Ciprofloxacin,S
562.100847,Ampicillin,S
562.100847,Ciprofloxacin,S
562.100854,Ampicillin,S
562.100854,Ciprofloxacin,S
562.100861,Ampicillin,R
562.100861,Ciprofloxacin,S
562.100865,Ampicillin,R
562.100865,Ciprofloxacin,S
562.100882,Ampicillin,S
562.100882,Ciprofloxacin,R
562.100886,Ampicillin,R
562.100886,Ciprofloxacin,S
562.100893,Ampicillin,S
562.100893,Ciprofloxacin,R
562.100894,Ampicillin,R
562.100894,Ciprofloxacin,S
562.100895,Ampicillin,R
562.100895,Ciprofloxacin,S
562.100896,Ampicillin,R
562.100896,Ciprofloxacin,S
562.100903,Ampicillin,S
562.100903,Ciprofloxacin,S
562.100907,Ampicillin,R
562.100907,Ciprofloxacin,S
562.100908,Ampicillin,S
562.100908,Ciprofloxacin,S
562.100912,Ampicillin,R
562.100912,Ciprofloxacin,S
562.100914,Ampicillin,S
562.100914,Ciprofloxacin,S
562.100924,Ampicillin,R
562.100924,Ciprofloxacin,S
562.100928,Ampicillin,R
562.100928,Ciprofloxacin,S
562.100931,Ampicillin,S
562.100931,Ciprofloxacin,S
562.100935,Ampicillin,R
562.100935,Ciprofloxacin,S
562.100937,Ampicillin,R
562.100937,Ciprofloxacin,S
562.100938,Ampicillin,R
562.100938,Ciprofloxacin,S
562.100945,Ampicillin,S
562.100945,Ciprofloxacin,S
562.100948,Ampicillin,R
562.100948,Ciprofloxacin,S
562.100950,Ampicillin,S
562.100950,Ciprofloxacin,S
562.100959,Ampicillin,R
562.100959,Ciprofloxacin,S
562.12961,Ampicillin,R
562.12961,Ciprofloxacin,S
562.12961,Trimethoprim,S
562.135559,Ampicillin,R
562.135559,Ciprofloxacin,R
562.135561,Ampicillin,R
562.135561,Ciprofloxacin,R
562.135569,Ampicillin,R
562.135569,Ciprofloxacin,R
562.135571,Ampicillin,R
562.135571,Ciprofloxacin,R
562.135572,Ampicillin,R
562.135572,Ciprofloxacin,R
562.135579,Ampicillin,R
562.135579,Ciprofloxacin,R
562.135580,Ampicillin,R
562.135580,Ciprofloxacin,R
562.135582,Ampicillin,R
562.135582,Ciprofloxacin,R
562.135586,Ampicillin,R
562.135586,Ciprofloxacin,R
562.135591,Ampicillin,R
562.135591,Ciprofloxacin,R
562.140824,Ampicillin,R
562.140824,Ciprofloxacin,R
562.140828,Ampicillin,R
562.140828,Ciprofloxacin,R
562.140834,Ampicillin,R
562.140834,Ciprofloxacin,R
562.140835,Ampicillin,R
562.140835,Ciprofloxacin,R
562.140837,Ampicillin,R
562.140837,Ciprofloxacin,R
562.140841,Ampicillin,R
562.140841,Ciprofloxacin,R
562.140844,Ampicillin,R
562.140844,Ciprofloxacin,R
562.140852,Ampicillin,R
562.140852,Ciprofloxacin,R
562.140861,Ampicillin,R
562.140861,Ciprofloxacin,R
562.140865,Ampicillin,R
562.140865,Ciprofloxacin,R
562.140870,Ampicillin,R
562.140870,Ciprofloxacin,R
562.140872,Ampicillin,R
562.140872,Ciprofloxacin,R
562.140876,Ampicillin,R
562.140876,Ciprofloxacin,R
562.140878,Ampicillin,R
562.140878,Ciprofloxacin,R
562.140881,Ampicillin,R
562.140881,Ciprofloxacin,R
562.140882,Ampicillin,R
562.140882,Ciprofloxacin,R
562.140886,Ampicillin,R
562.140886,Ciprofloxacin,R
562.140893,Ampicillin,R
562.140893,Ciprofloxacin,R
562.140894,Ampicillin,R
562.140894,Ciprofloxacin,R
562.140903,Ampicillin,R
562.140903,Ciprofloxacin,R
562.140912,Ampicillin,R
562.140912,Ciprofloxacin,R
562.140915,Ampicillin,R
562.140915,Ciprofloxacin,R
562.144150,Ampicillin,R
562.144180,Ampicillin,R
562.144186,Ampicillin,R
562.144190,Ampicillin,R
562.144198,Ampicillin,R
562.144205,Ampicillin,R
562.144209,Ampicillin,R
562.144217,Ampicillin,R
562.144218,Ampicillin,R
562.144221,Ampicillin,R
562.144225,Ampicillin,R
562.144246,Ampicillin,R
562.144250,Ampicillin,R
562.144258,Ampicillin,R
562.144314,Ampicillin,R
562.144331,Ampicillin,R
562.144921,Ampicillin,R
562.144921,Ciprofloxacin,R
562.144931,Ampicillin,R
562.144931,Ciprofloxacin,R
562.144933,Ampicillin,R
562.144933,Ciprofloxacin,R
562.144935,Ampicillin,R
562.144935,Ciprofloxacin,R
562.144944,Ampicillin,S
562.144944,Ciprofloxacin,S
562.144944,Trimethoprim,S
562.144945,Ampicillin,S
562.144945,Ciprofloxacin,S
562.144945,Trimethoprim,S
562.144946,Ampicillin,S
562.144946,Ciprofloxacin,S
562.144946,Trimethoprim,S
562.144947,Ampicillin,S
562.144947,Ciprofloxacin,S
562.144947,Trimethoprim,S
562.144948,Ampicillin,S
562.144948,Ciprofloxacin,S
562.144948,Trimethoprim,S
562.144949,Ampicillin,S
562.144949,Ciprofloxacin,S
562.144949,Trimethoprim,S
562.144950,Ampicillin,S
562.144950,Ciprofloxacin,S
562.144950,Trimethoprim,S
562.144951,Ampicillin,S
562.144951,Ciprofloxacin,S
562.144951,Trimethoprim,S
562.144953,Ampicillin,S
562.144953,Ciprofloxacin,S
562.144953,Trimethoprim,S
562.144955,Ampicillin,S
562.144955,Ciprofloxacin,S
562.144955,Trimethoprim,S
562.144960,Ampicillin,S
562.144960,Ciprofloxacin,S
562.144960,Trimethoprim,S
562.144961,Ampicillin,S
562.144961,Ciprofloxacin,S
562.144961,Trimethoprim,S
562.144962,Ampicillin,S
562.144962,Ciprofloxacin,S
562.144962,Trimethoprim,S
562.144963,Ampicillin,S
562.144963,Ciprofloxacin,S
562.144963,Trimethoprim,S
562.144964,Ampicillin,S
562.144964,Ciprofloxacin,S
562.144964,Trimethoprim,S
562.144966,Ampicillin,S
562.144966,Ciprofloxacin,S
562.144966,Trimethoprim,S
562.144967,Ampicillin,S
562.144967,Ciprofloxacin,S
562.144967,Trimethoprim,S
562.144969,Ampicillin,S
562.144969,Ciprofloxacin,S
562.144969,Trimethoprim,S
562.144970,Ampicillin,S
562.144970,Ciprofloxacin,S
562.144970,Trimethoprim,R
562.144971,Ampicillin,S
562.144971,Ciprofloxacin,S
562.144971,Trimethoprim,S
562.144972,Ampicillin,S
562.144972,Ciprofloxacin,S
562.144972,Trimethoprim,S
562.144973,Ampicillin,S
562.144973,Ciprofloxacin,S
562.144973,Trimethoprim,S
562.144974,Ampicillin,S
562.144974,Ciprofloxacin,S
562.144974,Trimethoprim,S
562.144976,Ampicillin,S
562.144976,Ciprofloxacin,S
562.144976,Trimethoprim,S
562.144977,Ampicillin,S
562.144977,Ciprofloxacin,S
562.144977,Trimethoprim,R
562.144980,Ampicillin,S
562.144980,Ciprofloxacin,S
562.144980,Trimethoprim,S
562.144981,Ampicillin,S
562.144981,Ciprofloxacin,S
562.144981,Trimethoprim,S
562.144982,Ampicillin,S
562.144982,Ciprofloxacin,S
562.144982,Trimethoprim,S
562.144983,Ampicillin,S
562.144983,Ciprofloxacin,S
562.144983,Trimethoprim,S
562.144984,Ampicillin,S
562.144984,Ciprofloxacin,S
562.144984,Trimethoprim,S
562.144985,Ampicillin,S
562.144985,Ciprofloxacin,S
562.144985,Trimethoprim,S
562.144987,Ampicillin,S
562.144987,Ciprofloxacin,S
562.144987,Trimethoprim,S
562.144989,Ampicillin,S
562.144989,Ciprofloxacin,S
562.144989,Trimethoprim,S
562.144990,Ampicillin,S
562.144990,Ciprofloxacin,S
562.144990,Trimethoprim,S
562.144991,Ampicillin,S
562.144991,Ciprofloxacin,S
562.144991,Trimethoprim,S
562.144992,Ampicillin,S
562.144992,Ciprofloxacin,S
562.144992,Trimethoprim,S
562.144993,Ampicillin,S
562.144993,Ciprofloxacin,S
562.144993,Trimethoprim,S
562.144994,Ampicillin,S
562.144994,Ciprofloxacin,S
562.144994,Trimethoprim,S
562.144995,Ampicillin,S
562.144995,Ciprofloxacin,S
562.144995,Trimethoprim,S
562.144996,Ampicillin,S
562.144996,Ciprofloxacin,S
562.144996,Trimethoprim,S
562.144997,Ampicillin,S
562.144997,Ciprofloxacin,S
562.144997,Trimethoprim,S
562.144998,Ampicillin,S
562.144998,Ciprofloxacin,S
562.144998,Trimethoprim,S
562.145000,Ampicillin,S
562.145000,Ciprofloxacin,S
562.145000,Trimethoprim,S
562.145001,Ampicillin,S
562.145001,Ciprofloxacin,S
562.145001,Trimethoprim,S
562.145002,Ampicillin,S
562.145002,Ciprofloxacin,S
562.145002,Trimethoprim,S
562.145005,Ampicillin,S
562.145005,Ciprofloxacin,S
562.145005,Trimethoprim,S
562.145006,Ampicillin,R
562.145006,Ciprofloxacin,S
562.145006,Trimethoprim,S
562.145010,Ampicillin,S
562.145010,Ciprofloxacin,S
562.145010,Trimethoprim,S
562.145011,Ampicillin,S
562.145011,Ciprofloxacin,S
562.145011,Trimethoprim,S
562.145012,Ampicillin,S
562.145012,Ciprofloxacin,S
562.145012,Trimethoprim,R
562.145013,Ampicillin,S
562.145013,Ciprofloxacin,S
562.145013,Trimethoprim,S
562.145015,Ampicillin,S
562.145015,Ciprofloxacin,S
562.145015,Trimethoprim,S
562.145017,Ampicillin,R
562.145017,Ciprofloxacin,S
562.145017,Trimethoprim,R
562.145020,Ampicillin,S
562.145020,Ciprofloxacin,S
562.145020,Trimethoprim,S
562.145021,Ampicillin,S
562.145021,Ciprofloxacin,S
562.145021,Trimethoprim,S
562.145022,Ampicillin,S
562.145022,Ciprofloxacin,S
562.145022,Trimethoprim,S
562.145023,Ampicillin,S
562.145023,Ciprofloxacin,S
562.145023,Trimethoprim,R
562.145024,Ampicillin,R
562.145024,Ciprofloxacin,R
562.145024,Trimethoprim,S
562.145025,Ampicillin,S
562.145025,Ciprofloxacin,S
562.145025,Trimethoprim,S
562.145026,Ampicillin,S
562.145026,Ciprofloxacin,S
562.145026,Trimethoprim,S
562.145028,Ampicillin,S
562.145028,Ciprofloxacin,S
562.145028,Trimethoprim,S
562.145029,Ampicillin,S
562.145029,Ciprofloxacin,S
562.145029,Trimethoprim,S
562.145030,Ampicillin,S
562.145030,Ciprofloxacin,S
562.145030,Trimethoprim,S
562.145031,Ampicillin,S
562.145031,Ciprofloxacin,S
562.145031,Trimethoprim,S
562.145032,Ampicillin,S
562.145032,Ciprofloxacin,S
562.145032,Trimethoprim,S
562.145033,Ampicillin,S
562.145033,Ciprofloxacin,S
562.145033,Trimethoprim,S
562.145034,Ampicillin,S
562.145034,Ciprofloxacin,S
562.145034,Trimethoprim,S
562.145036,Ampicillin,S
562.145036,Ciprofloxacin,S
562.145036,Trimethoprim,S
562.145037,Ampicillin,S
562.145037,Ciprofloxacin,S
562.145037,Trimethoprim,S
562.145038,Ampicillin,S
562.145038,Ciprofloxacin,S
562.145038,Trimethoprim,S
562.145039,Ampicillin,S
562.145039,Ciprofloxacin,S
562.145039,Trimethoprim,S
562.145041,Ampicillin,S
562.145041,Ciprofloxacin,S
562.145041,Trimethoprim,S
562.145042,Ampicillin,S
562.145042,Ciprofloxacin,S
562.145042,Trimethoprim,S
562.145046,Ampicillin,S
562.145046,Ciprofloxacin,S
562.145046,Trimethoprim,S
562.145047,Ampicillin,S
562.145047,Ciprofloxacin,S
562.145047,Trimethoprim,S
562.145050,Ampicillin,S
562.145050,Ciprofloxacin,S
562.145050,Trimethoprim,S
562.145051,Ampicillin,S
562.145051,Ciprofloxacin,S
562.145051,Trimethoprim,S
562.145053,Ampicillin,S
562.145053,Ciprofloxacin,S
562.145053,Trimethoprim,S
562.145056,Ampicillin,S
562.145056,Ciprofloxacin,S
562.145056,Trimethoprim,S
562.145059,Ampicillin,S
562.145059,Ciprofloxacin,S
562.145059,Trimethoprim,S
562.145060,Ampicillin,S
562.145060,Ciprofloxacin,S
562.145060,Trimethoprim,S
562.145063,Ampicillin,S
562.145063,Ciprofloxacin,S
562.145063,Trimethoprim,S
562.145064,Ampicillin,S
562.145064,Ciprofloxacin,S
562.145064,Trimethoprim,R
562.145065,Ampicillin,R
562.145065,Ciprofloxacin,S
562.145065,Trimethoprim,S
562.145066,Ampicillin,S
562.145066,Ciprofloxacin,S
562.145066,Trimethoprim,S
562.145067,Ampicillin,S
562.145067,Ciprofloxacin,S
562.145067,Trimethoprim,S
562.145068,Ampicillin,S
562.145068,Ciprofloxacin,S
562.145068,Trimethoprim,S
562.145069,Ampicillin,S
562.145069,Ciprofloxacin,S
562.145069,Trimethoprim,S
562.145070,Ampicillin,R
562.145070,Ciprofloxacin,R
562.145070,Trimethoprim,S
562.145073,Ampicillin,S
562.145073,Ciprofloxacin,S
562.145073,Trimethoprim,S
562.145074,Ampicillin,S
562.145074,Ciprofloxacin,S
562.145074,Trimethoprim,S
562.145075,Ampicillin,S
562.145075,Ciprofloxacin,S
562.145075,Trimethoprim,S
562.145076,Ampicillin,S
562.145076,Ciprofloxacin,R
562.145076,Trimethoprim,S
562.145077,Ampicillin,S
562.145077,Ciprofloxacin,S
562.145077,Trimethoprim,S
562.145078,Ampicillin,S
562.145078,Ciprofloxacin,S
562.145078,Trimethoprim,S
562.145079,Ampicillin,S
562.145079,Ciprofloxacin,S
562.145079,Trimethoprim,S
562.145080,Ampicillin,S
562.145080,Ciprofloxacin,S
562.145080,Trimethoprim,S
562.145384,Ampicillin,R
562.145384,Ciprofloxacin,S
562.145385,Ampicillin,R
562.145385,Ciprofloxacin,S
562.145386,Ampicillin,R
562.145386,Ciprofloxacin,S
562.145389,Ampicillin,R
562.145389,Ciprofloxacin,S
562.145392,Ampicillin,R
562.145392,Ciprofloxacin,S
562.145398,Ampicillin,R
562.145398,Ciprofloxacin,S
562.145399,Ampicillin,R
562.145399,Ciprofloxacin,S
562.145400,Ampicillin,R
562.145400,Ciprofloxacin,S
562.145402,Ampicillin,R
562.145402,Ciprofloxacin,S
562.145403,Ampicillin,R
562.145403,Ciprofloxacin,S
562.145405,Ampicillin,R
562.145405,Ciprofloxacin,S
562.145420,Ampicillin,R
562.145420,Ciprofloxacin,S
562.145427,Ampicillin,R
562.145427,Ciprofloxacin,S
562.145429,Ampicillin,R
562.145429,Ciprofloxacin,S
562.145430,Ampicillin,R
562.145430,Ciprofloxacin,S
562.145433,Ampicillin,R
562.145433,Ciprofloxacin,S
562.145819,Ampicillin,S
562.145819,Ciprofloxacin,S
562.16324,Ampicillin,R
562.16324,Ciprofloxacin,R
562.16466,Ampicillin,R
562.16466,Ciprofloxacin,R
562.16466,Trimethoprim,R
562.17359,Ciprofloxacin,R
562.19090,Ampicillin,R
562.19090,Ciprofloxacin,R
562.19090,Trimethoprim,R
562.19180,Ampicillin,R
562.19633,Ampicillin,R
562.19633,Ciprofloxacin,R
562.20499,Ampicillin,R
562.20499,Ciprofloxacin,R
562.22428,Ampicillin,S
562.22428,Ciprofloxacin,S
562.22428,Trimethoprim,S
562.22432,Ampicillin,R
562.22432,Ciprofloxacin,R
562.22432,Trimethoprim,R
562.22433,Ampicillin,S
562.22433,Ciprofloxacin,S
562.22433,Trimethoprim,S
562.22434,Ampicillin,R
562.22434,Ciprofloxacin,R
562.22434,Trimethoprim,R
562.22435,Ampicillin,R
562.22435,Ciprofloxacin,S
562.22435,Trimethoprim,R
562.22436,Ampicillin,R
562.22436,Ciprofloxacin,S
562.22436,Trimethoprim,R
562.22437,Ampicillin,R
562.22437,Ciprofloxacin,S
562.22437,Trimethoprim,R
562.22438,Ampicillin,S
562.22438,Ciprofloxacin,S
562.22438,Trimethoprim,S
562.22439,Ampicillin,S
562.22439,Ciprofloxacin,S
562.22439,Trimethoprim,S
562.22441,Ampicillin,R
562.22441,Ciprofloxacin,S
562.22441,Trimethoprim,S
562.22442,Ampicillin,R
562.22442,Ciprofloxacin,R
562.22442,Trimethoprim,R
562.22445,Ampicillin,R
562.22445,Ciprofloxacin,S
562.22445,Trimethoprim,S
562.22447,Ampicillin,R
562.22447,Ciprofloxacin,S
562.22447,Trimethoprim,R
562.22448,Ampicillin,S
562.22448,Ciprofloxacin,S
562.22448,Trimethoprim,S
562.22452,Ampicillin,S
562.22452,Ciprofloxacin,S
562.22452,Trimethoprim,S
562.22453,Ampicillin,S
562.22453,Ciprofloxacin,S
562.22453,Trimethoprim,S
562.22454,Ampicillin,R
562.22454,Ciprofloxacin,S
562.22454,Trimethoprim,S
562.22455,Ampicillin,R
562.22455,Ciprofloxacin,R
562.22455,Trimethoprim,R
562.22459,Ampicillin,S
562.22459,Ciprofloxacin,S
562.22459,Trimethoprim,S
562.22460,Ampicillin,R
562.22460,Ciprofloxacin,R
562.22460,Trimethoprim,R
562.22461,Ampicillin,R
562.22461,Ciprofloxacin,S
562.22461,Trimethoprim,R
562.22464,Ampicillin,R
562.22464,Ciprofloxacin,S
562.22464,Trimethoprim,S
562.22465,Ampicillin,R
562.22465,Ciprofloxacin,R
562.22465,Trimethoprim,R
562.22466,Ampicillin,R
562.22466,Ciprofloxacin,S
562.22466,Trimethoprim,R
562.22467,Ampicillin,R
562.22467,Ciprofloxacin,S
562.22467,Trimethoprim,S
562.22469,Ampicillin,R
562.22469,Trimethoprim,S
562.22470,Ampicillin,S
562.22470,Ciprofloxacin,S
562.22470,Trimethoprim,R
