genome_id,genome_name,antibiotic,phenotype,lab_method
562.98104,Escherichia coli b0d9d152-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.135591,Escherichia coli 20200203_MGL_12,ampicillin,Resistant,Disk diffusion
562.99948,Escherichia coli 630641da-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.7624,Escherichia coli strain 302082,ampicillin,Resistant,Broth dilution
562.135580,Escherichia coli MGL_1550,ampicillin,Resistant,Disk diffusion
562.145427,Escherichia coli AGA06_2560,ampicillin,Resistant,Broth dilution
562.65506,Escherichia coli strain AMC_693,ampicillin,Resistant,
562.145405,Escherichia coli AGA06_2509,ampicillin,Resistant,Broth dilution
562.57274,Escherichia coli strain 24742_1#360,ampicillin,Resistant,Broth dilution
562.22579,Escherichia coli O6:H1 strain ECO0154,ampicillin,Resistant,Broth dilution
562.98102,Escherichia coli cfa749b6-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.97979,Escherichia coli cce888ca-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99342,Escherichia coli e792ac32-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57430,Escherichia coli strain W2_6_ERB1,ampicillin,Resistant,Broth dilution
562.99979,Escherichia coli c4069df4-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100734,Escherichia coli a4a7b7be-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100809,Escherichia coli 04877ffc-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.22826,Escherichia coli O4:H5 strain ECO0427,ampicillin,Resistant,Broth dilution
562.135559,Escherichia coli MGL_90,ampicillin,Resistant,Disk diffusion
562.140865,Escherichia coli 013-E2-U02,ampicillin,Resistant,Disk diffusion
562.65436,Escherichia coli strain AMC_863,ampicillin,Resistant,
562.99122,Escherichia coli e2dccf7e-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99527,Escherichia coli cb9b5466-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144933,Escherichia coli 20200317_MGL_35,ampicillin,Resistant,Disk diffusion
562.98137,Escherichia coli 44e7005e-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144246,Escherichia coli ERR7221505,ampicillin,Resistant,Broth dilution
562.45673,Escherichia coli strain EC_02,ampicillin,Resistant,Disk diffusion
562.98545,Escherichia coli a9dcb676-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57277,Escherichia coli strain 24742_1#229,ampicillin,Resistant,Broth dilution
562.99066,Escherichia coli 16d6a3ea-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65746,Escherichia coli strain AMC_769,ampicillin,Resistant,
562.65606,Escherichia coli strain AMC_139,ampicillin,Resistant,
562.42669,Escherichia coli strain 197,ampicillin,Resistant,Broth dilution
562.57288,Escherichia coli strain 24742_1#238,ampicillin,Resistant,Broth dilution
562.22467,Escherichia coli O75:H7 strain ECO0040,ampicillin,Resistant,Broth dilution
562.65109,Escherichia coli strain AMC_894,ampicillin,Resistant,
562.45621,Escherichia coli strain EC_58,ampicillin,Resistant,Disk diffusion
562.99999,Escherichia coli c19ac928-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99977,Escherichia coli c384fdd0-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.7775,Escherichia coli strain G603423,ampicillin,Resistant,Broth dilution
562.56853,Escherichia coli strain 512-16,ampicillin,Resistant,Disk diffusion
562.42799,Escherichia coli strain M40,ampicillin,Resistant,Broth dilution
562.98036,Escherichia coli e37e1d38-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99538,Escherichia coli 225209d0-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65001,Escherichia coli strain AMC_737,ampicillin,Resistant,
562.56905,Escherichia coli strain RL315,ampicillin,Resistant,Disk diffusion
562.65564,Escherichia coli strain AMC_635,ampicillin,Resistant,
562.98943,Escherichia coli 8a62c924-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98850,Escherichia coli 7d1c8e22-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100391,Escherichia coli 806d97a0-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65261,Escherichia coli strain AMC_449,ampicillin,Resistant,
562.22500,Escherichia coli O6:H1 strain ECO0073,ampicillin,Resistant,Broth dilution
562.65214,Escherichia coli strain AMC_490,ampicillin,Resistant,
562.58738,Escherichia coli strain 15078696,ampicillin,Resistant,Broth dilution
562.135572,Escherichia coli MGL_123,ampicillin,Resistant,Disk diffusion
562.97802,Escherichia coli 4d4ca53c-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.140894,Escherichia coli 006-E1-DxU,ampicillin,Resistant,Disk diffusion
562.145389,Escherichia coli AGA06_2466,ampicillin,Resistant,Broth dilution
562.100562,Escherichia coli bc3b950c-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98325,Escherichia coli 73855280-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65080,Escherichia coli strain AMC_238,ampicillin,Resistant,
562.22821,Escherichia coli O25:H4 strain ECO0420,ampicillin,Resistant,Broth dilution
562.56797,Escherichia coli strain 465-16,ampicillin,Resistant,Disk diffusion
562.99724,Escherichia coli 72356da2-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.22676,Escherichia coli O17:H18 strain ECO0265,ampicillin,Resistant,Broth dilution
562.57130,Escherichia coli strain 24742_1#58,ampicillin,Resistant,Broth dilution
562.140878,Escherichia coli 013-E2-S06,ampicillin,Resistant,Disk diffusion
562.100506,Escherichia coli d4492c9a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65782,Escherichia coli strain CFS0350,ampicillin,Resistant,
562.65219,Escherichia coli strain AMC_483,ampicillin,Resistant,
562.98914,Escherichia coli 9ad51c68-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.97978,Escherichia coli d30a4798-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99032,Escherichia coli 88ca5574-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.64824,Escherichia coli strain AMC_351,ampicillin,Resistant,
562.57208,Escherichia coli strain 24742_1#345,ampicillin,Resistant,Broth dilution
562.98920,Escherichia coli a529568e-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.145433,Escherichia coli AGA06_2563,ampicillin,Resistant,Broth dilution
562.99749,Escherichia coli 8bc3f47e-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98872,Escherichia coli 2059bd44-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144198,Escherichia coli ERR2124239,ampicillin,Resistant,Broth dilution
562.56836,Escherichia coli strain 495-16,ampicillin,Resistant,Disk diffusion
562.100100,Escherichia coli 9580dafe-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.30310,Escherichia coli strain KCJ9499,ampicillin,Resistant,Disk diffusion
562.42699,Escherichia coli strain 263,ampicillin,Resistant,Broth dilution
562.42779,Escherichia coli strain M24,ampicillin,Resistant,Broth dilution
562.42863,Escherichia coli strain MUGSI_301,ampicillin,Resistant,Broth dilution
562.65504,Escherichia coli strain AMC_145,ampicillin,Resistant,
562.65525,Escherichia coli strain AMC_683,ampicillin,Resistant,
562.42727,Escherichia coli strain 368,ampicillin,Resistant,Broth dilution
562.22784,Escherichia coli O25:H4 strain ECO0382,ampicillin,Resistant,Broth dilution
562.57463,Escherichia coli strain W2_15_ERB10,ampicillin,Resistant,Broth dilution
562.100308,Escherichia coli c1665986-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57183,Escherichia coli strain 24742_1#328,ampicillin,Resistant,Broth dilution
562.7567,Escherichia coli strain 100554_aEPEC,ampicillin,Resistant,Broth dilution
562.22474,Escherichia coli O18:H1 strain ECO0047,ampicillin,Resistant,Broth dilution
562.99052,Escherichia coli c5ca15ae-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.145430,Escherichia coli AGA06_2538,ampicillin,Resistant,Broth dilution
562.99714,Escherichia coli a30f2f80-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.45846,Escherichia coli strain URMC_88,ampicillin,Resistant,Broth dilution
562.7664,Escherichia coli strain 402138_aEPEC,ampicillin,Resistant,Broth dilution
562.42813,Escherichia coli strain M53,ampicillin,Resistant,Broth dilution
562.56881,Escherichia coli strain RL107,ampicillin,Resistant,Disk diffusion
562.65278,Escherichia coli strain AMC_429,ampicillin,Resistant,
562.100331,Escherichia coli 0bd7f926-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.42688,Escherichia coli strain 241,ampicillin,Resistant,Broth dilution
562.56908,Escherichia coli strain RL316,ampicillin,Resistant,Disk diffusion
562.12961,Escherichia coli strain F1-8-ERB4,ampicillin,Resistant,Broth dilution
562.45845,Escherichia coli strain 103,ampicillin,Resistant,Broth dilution
562.99839,Escherichia coli ec305f96-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.23867,Escherichia coli O2:H4 strain ECO0298,ampicillin,Resistant,Broth dilution
562.98181,Escherichia coli 363355c6-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100359,Escherichia coli 42ce1b18-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.64966,Escherichia coli strain AMC_99,ampicillin,Resistant,
562.58705,Escherichia coli strain 14040376,ampicillin,Resistant,Broth dilution
562.144150,Escherichia coli ERR1837597,ampicillin,Resistant,Broth dilution
562.57138,Escherichia coli strain 24742_1#307,ampicillin,Resistant,Broth dilution
562.100170,Escherichia coli f4c42a20-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98219,Escherichia coli 71ada43a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.58746,Escherichia coli strain 109,ampicillin,Resistant,Disk diffusion
562.135571,Escherichia coli MGL_125,ampicillin,Resistant,Disk diffusion
562.65017,Escherichia coli strain AMC_307,ampicillin,Resistant,
562.42868,Escherichia coli strain MUGSI_55,ampicillin,Resistant,Broth dilution
562.65441,Escherichia coli strain AMC_843,ampicillin,Resistant,
562.22722,Escherichia coli O51:H24 strain ECO0309,ampicillin,Resistant,Broth dilution
562.57500,Escherichia coli strain PB363,ampicillin,Resistant,Broth dilution
562.100612,Escherichia coli 9a664a40-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.64949,Escherichia coli strain AMC_316,ampicillin,Resistant,
562.65566,Escherichia coli strain AMC_632,ampicillin,Resistant,
562.144205,Escherichia coli ERR2124246,ampicillin,Resistant,Broth dilution
562.65760,Escherichia coli strain AMC_204,ampicillin,Resistant,
562.64864,Escherichia coli strain AMC_960,ampicillin,Resistant,
562.99207,Escherichia coli 38ee7728-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65018,Escherichia coli strain AMC_306,ampicillin,Resistant,
562.42866,Escherichia coli strain MUGSI_44,ampicillin,Resistant,Broth dilution
562.56919,Escherichia coli strain RL97,ampicillin,Resistant,Disk diffusion
562.56806,Escherichia coli strain 47-16,ampicillin,Resistant,Disk diffusion
562.29001,Escherichia coli strain JEONG-9600,ampicillin,Resistant,Disk diffusion
562.144935,Escherichia coli 20200203_MGL_19,ampicillin,Resistant,Disk diffusion
562.7720,Escherichia coli strain G302551,ampicillin,Resistant,Broth dilution
562.65487,Escherichia coli strain AMC_151,ampicillin,Resistant,
562.7575,Escherichia coli strain 300795_aEPEC,ampicillin,Resistant,Broth dilution
562.144258,Escherichia coli ERR7221516,ampicillin,Resistant,Broth dilution
562.64849,Escherichia coli strain AMC_973,ampicillin,Resistant,
562.99854,Escherichia coli f8aaf862-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.56804,Escherichia coli strain 467-16,ampicillin,Resistant,Disk diffusion
562.57490,Escherichia coli strain PB305,ampicillin,Resistant,Broth dilution
562.7704,Escherichia coli strain 401082,ampicillin,Resistant,Broth dilution
562.65647,Escherichia coli strain AMC_587,ampicillin,Resistant,
562.7662,Escherichia coli strain 403728,ampicillin,Resistant,Broth dilution
562.97812,Escherichia coli 6c0e64a6-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.28997,Escherichia coli strain JEONG-9615,ampicillin,Resistant,Disk diffusion
562.22520,Escherichia coli O2:H4 strain ECO0094,ampicillin,Resistant,Broth dilution
562.42638,Escherichia coli strain 137,ampicillin,Resistant,Broth dilution
562.42730,Escherichia coli strain 375,ampicillin,Resistant,Broth dilution
562.140834,Escherichia coli 018-E2-U04,ampicillin,Resistant,Disk diffusion
562.56805,Escherichia coli strain 468-16,ampicillin,Resistant,Disk diffusion
562.7695,Escherichia coli strain 500989,ampicillin,Resistant,Broth dilution
562.99475,Escherichia coli a2db9bd4-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65239,Escherichia coli strain AMC_475,ampicillin,Resistant,
562.56800,Escherichia coli strain 46-16,ampicillin,Resistant,Disk diffusion
562.16324,Escherichia coli strain AR_0118,ampicillin,Resistant,Broth dilution
562.100144,Escherichia coli f00cec6a-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99276,Escherichia coli c549ce94-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57257,Escherichia coli strain 24742_1#216,ampicillin,Resistant,Broth dilution
562.65625,Escherichia coli strain AMC_130,ampicillin,Resistant,
562.99938,Escherichia coli 6bbfa370-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.73368,Escherichia coli strain BB1425,ampicillin,Resistant,Disk diffusion
562.28845,Escherichia coli strain RDK40_71E,ampicillin,Resistant,Disk diffusion
562.98344,Escherichia coli df4a99cc-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100027,Escherichia coli 23b5be5c-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57212,Escherichia coli strain 24742_1#175,ampicillin,Resistant,Broth dilution
562.56795,Escherichia coli strain 41-16,ampicillin,Resistant,Disk diffusion
562.57129,Escherichia coli strain 24742_1#301,ampicillin,Resistant,Broth dilution
562.42784,Escherichia coli strain M3,ampicillin,Resistant,Broth dilution
562.56782,Escherichia coli strain 304-13-1,ampicillin,Resistant,Disk diffusion
562.57292,Escherichia coli strain 24742_1#236,ampicillin,Resistant,Broth dilution
562.22752,Escherichia coli O18:H5 strain ECO0343,ampicillin,Resistant,Broth dilution
562.58630,Escherichia coli strain PH143,ampicillin,Resistant,Disk diffusion
562.65578,Escherichia coli strain AMC_618,ampicillin,Resistant,
562.65522,Escherichia coli strain AMC_677,ampicillin,Resistant,
562.57166,Escherichia coli strain 24742_1#140,ampicillin,Resistant,Broth dilution
562.65539,Escherichia coli strain AMC_655,ampicillin,Resistant,
562.64873,Escherichia coli strain AMC_952,ampicillin,Resistant,
562.144190,Escherichia coli ERR2124237,ampicillin,Resistant,Broth dilution
562.45630,Escherichia coli strain EC_25,ampicillin,Resistant,Disk diffusion
562.65333,Escherichia coli strain AMC_61,ampicillin,Resistant,
562.144331,Escherichia coli ERR7221600,ampicillin,Resistant,Broth dilution
562.144180,Escherichia coli ERR1990253,ampicillin,Resistant,Broth dilution
562.57510,Escherichia coli strain PB63,ampicillin,Resistant,Broth dilution
562.100050,Escherichia coli 221e900a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65409,Escherichia coli strain AMC_9,ampicillin,Resistant,
562.42815,Escherichia coli strain M55,ampicillin,Resistant,Broth dilution
562.56907,Escherichia coli strain RL311,ampicillin,Resistant,Disk diffusion
562.57330,Escherichia coli strain 24742_1#251,ampicillin,Resistant,Broth dilution
562.98117,Escherichia coli ba86e2bc-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99875,Escherichia coli f3ae25d2-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.99466,Escherichia coli 7666d686-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144225,Escherichia coli ERR7221478,ampicillin,Resistant,Broth dilution
562.56876,Escherichia coli strain 90-16,ampicillin,Resistant,Disk diffusion
562.57245,Escherichia coli strain 24742_1#199,ampicillin,Resistant,Broth dilution
562.42871,Escherichia coli strain MUGSI_9,ampicillin,Resistant,Broth dilution
562.98638,Escherichia coli 66c41374-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65381,Escherichia coli strain AMC_43,ampicillin,Resistant,
562.99504,Escherichia coli ce140710-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65610,Escherichia coli strain AMC_594,ampicillin,Resistant,
562.65662,Escherichia coli strain AMC_564,ampicillin,Resistant,
562.57461,Escherichia coli strain W2_15_ERB1,ampicillin,Resistant,Broth dilution
562.145017,Escherichia coli PT_EC0213,ampicillin,Resistant,Disk diffusion
562.99964,Escherichia coli 7a42ece0-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.58747,Escherichia coli strain 110,ampicillin,Resistant,Disk diffusion
562.100263,Escherichia coli 5b65847c-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.45656,Escherichia coli strain EC_101,ampicillin,Resistant,Disk diffusion
562.140841,Escherichia coli 018-E2-S06,ampicillin,Resistant,Disk diffusion
562.99982,Escherichia coli c5090db8-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.144186,Escherichia coli ERR2124229,ampicillin,Resistant,Broth dilution
562.73363,Escherichia coli strain BB1428,ampicillin,Resistant,Disk diffusion
562.100615,Escherichia coli 9011d9f6-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.140844,Escherichia coli 018-E1-U02,ampicillin,Resistant,Disk diffusion
562.22755,Escherichia coli O16:H5 strain ECO0346,ampicillin,Resistant,Broth dilution
562.98736,Escherichia coli 87dd7992-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.42646,Escherichia coli strain 145,ampicillin,Resistant,Broth dilution
562.45399,Escherichia coli strain BR25-DEC,ampicillin,Resistant,Disk diffusion
562.99151,Escherichia coli a799a35a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.98743,Escherichia coli 87f6cece-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.97930,Escherichia coli 4a9a2f3a-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.100335,Escherichia coli 22a65760-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.56831,Escherichia coli strain 492-16,ampicillin,Resistant,Disk diffusion
562.28844,Escherichia coli strain RDK40_73,ampicillin,Resistant,Disk diffusion
562.65810,Escherichia coli strain RS153,ampicillin,Resistant,
562.64875,Escherichia coli strain AMC_950,ampicillin,Resistant,
562.145386,Escherichia coli AGA06_2461,ampicillin,Resistant,Broth dilution
562.140893,Escherichia coli 006-E1-S01,ampicillin,Resistant,Disk diffusion
562.64889,Escherichia coli strain AMC_933,ampicillin,Resistant,
562.42856,Escherichia coli strain MUGSI_273,ampicillin,Resistant,Broth dilution
562.100788,Escherichia coli fcee3b82-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.57249,Escherichia coli strain 24742_1#207,ampicillin,Resistant,Broth dilution
562.144221,Escherichia coli ERR7221468,ampicillin,Resistant,Broth dilution
562.65346,Escherichia coli strain AMC_389,ampicillin,Resistant,
562.100074,Escherichia coli 1c1279b0-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.65254,Escherichia coli strain AMC_451,ampicillin,Resistant,
562.144218,Escherichia coli ERR7221470,ampicillin,Resistant,Broth dilution
562.98990,Escherichia coli 5ad44318-7bb9-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.42835,Escherichia coli strain MUGSI_201,ampicillin,Resistant,Broth dilution
562.42869,Escherichia coli strain MUGSI_60,ampicillin,Resistant,Broth dilution
562.99271,Escherichia coli c6dccdc4-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.56877,Escherichia coli strain 9-16,ampicillin,Resistant,Disk diffusion
562.140835,Escherichia coli 018-E2-S04,ampicillin,Resistant,Disk diffusion
562.57173,Escherichia coli strain 24742_1#145,ampicillin,Resistant,Broth dilution
562.57508,Escherichia coli strain PB84,ampicillin,Resistant,Broth dilution
562.65365,Escherichia coli strain AMC_58,ampicillin,Resistant,
562.22743,Escherichia coli NA:H5 strain ECO0333,ampicillin,Resistant,Broth dilution
562.56785,Escherichia coli strain 39-16,ampicillin,Resistant,Disk diffusion
562.64900,Escherichia coli strain AMC_916,ampicillin,Resistant,
562.99746,Escherichia coli 8a223c84-7bb8-11e9-a8d3-68b59976a384,ampicillin,Resistant,Disk diffusion
562.135569,Escherichia coli 20200203_MGL_07,ampicillin,Resistant,Disk diffusion
562.57412,Escherichia coli strain W2_11_ERB9,ampicillin,Resistant,Broth dilution
562.57199,Escherichia coli strain 24742_1#339,ampicillin,Resistant,Broth dilution
